2025-11-20 19:30:20,305 | DQN_CartPole | INFO | Starting training CartPole-v1
2025-11-20 19:30:20,305 | DQN_CartPole | INFO | Episode: 1/1000, Score: 0.00, Steps: 12, Epsilon: 1.000
2025-11-20 19:30:20,305 | DQN_CartPole | INFO | Episode: 2/1000, Score: 16.00, Steps: 28, Epsilon: 0.995
2025-11-20 19:30:20,305 | DQN_CartPole | INFO | Episode: 3/1000, Score: 8.00, Steps: 20, Epsilon: 0.990
2025-11-20 19:30:20,334 | DQN_CartPole | INFO | Episode: 4/1000, Score: 3.00, Steps: 15, Epsilon: 0.985
2025-11-20 19:30:20,348 | DQN_CartPole | INFO | Episode: 5/1000, Score: 4.00, Steps: 16, Epsilon: 0.980
2025-11-20 19:30:20,361 | DQN_CartPole | INFO | Episode: 6/1000, Score: 10.00, Steps: 22, Epsilon: 0.975
2025-11-20 19:30:20,372 | DQN_CartPole | INFO | Episode: 7/1000, Score: 1.00, Steps: 13, Epsilon: 0.970
2025-11-20 19:30:20,385 | DQN_CartPole | INFO | Episode: 8/1000, Score: 7.00, Steps: 19, Epsilon: 0.966
2025-11-20 19:30:20,396 | DQN_CartPole | INFO | Episode: 9/1000, Score: 9.00, Steps: 21, Epsilon: 0.961
2025-11-20 19:30:20,408 | DQN_CartPole | INFO | Episode: 10/1000, Score: 10.00, Steps: 22, Epsilon: 0.956
2025-11-20 19:30:20,419 | DQN_CartPole | INFO | Episode: 11/1000, Score: 5.00, Steps: 17, Epsilon: 0.951
2025-11-20 19:30:20,434 | DQN_CartPole | INFO | Episode: 12/1000, Score: 10.00, Steps: 22, Epsilon: 0.946
2025-11-20 19:30:20,448 | DQN_CartPole | INFO | Episode: 13/1000, Score: 0.00, Steps: 12, Epsilon: 0.942
2025-11-20 19:30:20,461 | DQN_CartPole | INFO | Episode: 14/1000, Score: 2.00, Steps: 14, Epsilon: 0.937
2025-11-20 19:30:20,474 | DQN_CartPole | INFO | Episode: 15/1000, Score: 10.00, Steps: 22, Epsilon: 0.932
2025-11-20 19:30:20,484 | DQN_CartPole | INFO | Episode: 16/1000, Score: 2.00, Steps: 14, Epsilon: 0.928
2025-11-20 19:30:20,499 | DQN_CartPole | INFO | Episode: 17/1000, Score: 21.00, Steps: 33, Epsilon: 0.923
2025-11-20 19:30:20,514 | DQN_CartPole | INFO | Episode: 18/1000, Score: 5.00, Steps: 17, Epsilon: 0.918
2025-11-20 19:30:20,528 | DQN_CartPole | INFO | Episode: 19/1000, Score: 19.00, Steps: 31, Epsilon: 0.914
2025-11-20 19:30:20,541 | DQN_CartPole | INFO | Episode: 20/1000, Score: 1.00, Steps: 13, Epsilon: 0.909
2025-11-20 19:30:20,551 | DQN_CartPole | INFO | Episode: 21/1000, Score: 1.00, Steps: 13, Epsilon: 0.905
2025-11-20 19:30:20,566 | DQN_CartPole | INFO | Episode: 22/1000, Score: 3.00, Steps: 15, Epsilon: 0.900
2025-11-20 19:30:20,581 | DQN_CartPole | INFO | Episode: 23/1000, Score: 3.00, Steps: 15, Epsilon: 0.896
2025-11-20 19:30:20,592 | DQN_CartPole | INFO | Episode: 24/1000, Score: 8.00, Steps: 20, Epsilon: 0.891
2025-11-20 19:30:20,606 | DQN_CartPole | INFO | Episode: 25/1000, Score: 1.00, Steps: 13, Epsilon: 0.887
2025-11-20 19:30:20,620 | DQN_CartPole | INFO | Episode: 26/1000, Score: 16.00, Steps: 28, Epsilon: 0.882
2025-11-20 19:30:20,629 | DQN_CartPole | INFO | Episode: 27/1000, Score: 3.00, Steps: 15, Epsilon: 0.878
2025-11-20 19:30:20,645 | DQN_CartPole | INFO | Episode: 28/1000, Score: 9.00, Steps: 21, Epsilon: 0.873
2025-11-20 19:30:20,659 | DQN_CartPole | INFO | Episode: 29/1000, Score: 3.00, Steps: 15, Epsilon: 0.869
2025-11-20 19:30:20,669 | DQN_CartPole | INFO | Episode: 30/1000, Score: 2.00, Steps: 14, Epsilon: 0.865
2025-11-20 19:30:20,679 | DQN_CartPole | INFO | Episode: 31/1000, Score: 1.00, Steps: 13, Epsilon: 0.860
2025-11-20 19:30:20,694 | DQN_CartPole | INFO | Episode: 32/1000, Score: 7.00, Steps: 19, Epsilon: 0.856
2025-11-20 19:30:20,710 | DQN_CartPole | INFO | Episode: 33/1000, Score: 8.00, Steps: 20, Epsilon: 0.852
2025-11-20 19:30:20,722 | DQN_CartPole | INFO | Episode: 34/1000, Score: 0.00, Steps: 12, Epsilon: 0.848
2025-11-20 19:30:20,736 | DQN_CartPole | INFO | Episode: 35/1000, Score: -1.00, Steps: 11, Epsilon: 0.843
2025-11-20 19:30:20,746 | DQN_CartPole | INFO | Episode: 36/1000, Score: 23.00, Steps: 35, Epsilon: 0.839
2025-11-20 19:30:20,759 | DQN_CartPole | INFO | Episode: 37/1000, Score: 3.00, Steps: 15, Epsilon: 0.835
2025-11-20 19:30:20,772 | DQN_CartPole | INFO | Episode: 38/1000, Score: 15.00, Steps: 27, Epsilon: 0.831
2025-11-20 19:30:20,787 | DQN_CartPole | INFO | Episode: 39/1000, Score: 3.00, Steps: 15, Epsilon: 0.827
2025-11-20 19:30:20,799 | DQN_CartPole | INFO | Episode: 40/1000, Score: 2.00, Steps: 14, Epsilon: 0.822
2025-11-20 19:30:20,813 | DQN_CartPole | INFO | Episode: 41/1000, Score: 0.00, Steps: 12, Epsilon: 0.818
2025-11-20 19:30:20,823 | DQN_CartPole | INFO | Episode: 42/1000, Score: 8.00, Steps: 20, Epsilon: 0.814
2025-11-20 19:30:20,833 | DQN_CartPole | INFO | Episode: 43/1000, Score: 2.00, Steps: 14, Epsilon: 0.810
2025-11-20 19:30:20,852 | DQN_CartPole | INFO | Episode: 44/1000, Score: 12.00, Steps: 24, Epsilon: 0.806
2025-11-20 19:30:20,865 | DQN_CartPole | INFO | Episode: 45/1000, Score: 5.00, Steps: 17, Epsilon: 0.802
2025-11-20 19:30:20,878 | DQN_CartPole | INFO | Episode: 46/1000, Score: 4.00, Steps: 16, Epsilon: 0.798
2025-11-20 19:30:20,889 | DQN_CartPole | INFO | Episode: 47/1000, Score: 11.00, Steps: 23, Epsilon: 0.794
2025-11-20 19:30:20,904 | DQN_CartPole | INFO | Episode: 48/1000, Score: 2.00, Steps: 14, Epsilon: 0.790
2025-11-20 19:30:20,918 | DQN_CartPole | INFO | Episode: 49/1000, Score: 17.00, Steps: 29, Epsilon: 0.786
2025-11-20 19:30:20,935 | DQN_CartPole | INFO | Episode: 50/1000, Score: 49.00, Steps: 61, Epsilon: 0.782
2025-11-20 19:30:20,948 | DQN_CartPole | INFO | Episode: 51/1000, Score: 8.00, Steps: 20, Epsilon: 0.778
2025-11-20 19:30:20,963 | DQN_CartPole | INFO | Episode: 52/1000, Score: 7.00, Steps: 19, Epsilon: 0.774
2025-11-20 19:30:20,977 | DQN_CartPole | INFO | Episode: 53/1000, Score: 14.00, Steps: 26, Epsilon: 0.771
2025-11-20 19:30:20,992 | DQN_CartPole | INFO | Episode: 54/1000, Score: 8.00, Steps: 20, Epsilon: 0.767
2025-11-20 19:30:21,004 | DQN_CartPole | INFO | Episode: 55/1000, Score: -2.00, Steps: 10, Epsilon: 0.763
2025-11-20 19:30:21,012 | DQN_CartPole | INFO | Episode: 56/1000, Score: 3.00, Steps: 15, Epsilon: 0.759
2025-11-20 19:30:21,031 | DQN_CartPole | INFO | Episode: 57/1000, Score: 9.00, Steps: 21, Epsilon: 0.755
